@relation tweetset-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute label1 {SpornEnt,Politics}
@attribute label2 {nonfactual,factual}
@attribute label3 {positive,negative,neutral}
@attribute text string

@data
1,SpornEnt,nonfactual,positive,' year ago   weekend   saw ACDC   United Center    Friday   Blink   Tinley   next day       best weekend ever  '
2,SpornEnt,factual,neutral,' No power   home sat     dark listening   ACDC     hope       make   electric come back '
3,SpornEnt,nonfactual,positive,' Take   Highway   Dundas   check   FTATR ACDC cover band   Sat   pm     Main Stage dundascactus  '
4,SpornEnt,nonfactual,positive,'   not beat   Friday night no kids    beer listening   Taylor Swiftno wait   meant ACDC Motorhead '
5,SpornEnt,nonfactual,positive,' Requests   Oasis Steve Miller Band ACDC Big Country    Banter thief   make   cut   tomorrow MFCLive Playlist '
6,SpornEnt,nonfactual,positive,' MikkiC yes         Also   ACDC        Buckcherry   Starland          carney '
7,SpornEnt,nonfactual,positive,' annkillion Best day     Green       Aerosmith Foreigner Pat Travers Van Halen ACDC July   '
8,SpornEnt,nonfactual,negative,'   would anyone want   form  Metallica cover band       upsideone day       lucky   may open     ACDC cover band '
9,SpornEnt,nonfactual,positive,' suziperry Also         New York    day   see ACDC   ultimate fave      timefollowed   Van Halen   night   '
10,SpornEnt,nonfactual,positive,'    ACDC   ABBA   back     quite   mind fuck    Saturday morning  Thank goodness     handle    FizzButtonCC '
11,SpornEnt,nonfactual,positive,' Listening   early live ACDC cover Chuck Berry   drive  black capri     windows       sun    good day '
12,SpornEnt,nonfactual,positive,' Hello lovelies   Super Sunday Thai food ACDC raunchy dance   warm     lot     boy   season     lucky woman '
13,SpornEnt,nonfactual,positive,' ACDC   Vintage Trouble   Gillette Stadium   Sat  Limited tix   available     '
14,SpornEnt,nonfactual,positive,'     realize class start        ACDC concert       best concert since Eminem   JayZ thatwasgoat '
15,SpornEnt,nonfactual,positive,'   turned  Hitched   Newcastle   get   Went   ACDC left obsessed   Van Halen Carefree day  '
16,SpornEnt,nonfactual,positive,'  Gino   pretty damn impressed    Gino      see ACDC   Foxborough   Saturday '
17,SpornEnt,nonfactual,positive,'      extra ticket     field     ACDC concert   Saturday night   Gillette Stadium    looking  '
18,SpornEnt,nonfactual,positive,' BACK   BLACK   ACDC   no     UK album chart    August  '
19,SpornEnt,nonfactual,positive,' ACDC   win rock   Thunderstruck   not won     come nd   least   therockfm '
20,SpornEnt,nonfactual,negative,' Red Sox game     ticket   tonight may get rained       ACDC concert tomorrow night Somebody give     good news '
21,SpornEnt,nonfactual,positive,' Fuck   close   job   early   grab  flight   Boston   ACDC concert tomorrow Ride   high   free money yo LookoutBoston '
22,SpornEnt,nonfactual,positive,' Reddit           ACDC tomorrow   Gillette   not forget   Free Brady shirt  '
23,SpornEnt,nonfactual,negative,' Promised   take   niece   ACDC tomorrow  Soooo not     mood   '
24,SpornEnt,nonfactual,positive,' GoldenBrookss hablyf  Right     not         weekend   Tuesday heading   ACDC concert     NYC '
25,SpornEnt,factual,neutral,' senatorjohn      ACDC tomorrow night RockOrBustWorldTour '
26,SpornEnt,nonfactual,positive,' ericfisher cbsboston Eric       weather     ACDC concert tomorrow night   Gillette looking '
27,SpornEnt,nonfactual,positive,' surprise   mom   ACDC ticket   Wednesday      show   '
28,SpornEnt,nonfactual,positive,' Sitting  row   ACDC tonight Let go '
29,SpornEnt,nonfactual,positive,'   dinner   maysoonzayid   plan  annual  NY Arab america comedy festival   ACDC walked     could not get  photo '
30,SpornEnt,nonfactual,positive,' JakeAReid planning   ACDC live   Moncton come   sooner   later   Montreal     st     big O '
31,SpornEnt,nonfactual,positive,' smilelikepink   like Scorpions gun Acdc   download u playing Yesterday cause Con   Beatles '
32,SpornEnt,nonfactual,positive,' Angus Young cap fly   six song   ACDC set   Saturday   Gillette Stadium     guitarist   not  '
33,SpornEnt,nonfactual,positive,'     realized   seeing ACDC tomorrow Holy shit     waited nearly  year     '
34,SpornEnt,nonfactual,positive,'   time tomorrow ACDC     melting   fuck face   along      face acdc MetLife '
35,SpornEnt,nonfactual,positive,' Someone see ACDC     tomorrow     buy   ticket '
36,SpornEnt,factual,neutral,'      Wednesday ACDC Earth Joseph Arthur Darwin Deez Jason Lescalleet Alessia Cara    '
37,SpornEnt,nonfactual,positive,'   ca not even begin   tell     excite       go see ACDC tomorrow  '
38,SpornEnt,nonfactual,positive,'   day sure snap awake     st tune   Back   Black   ACDC  Good Wednesday HR  HRMusicShare HRPositive '
39,SpornEnt,nonfactual,positive,' Totally    reminded      see ACDC      Wooo '
40,SpornEnt,factual,neutral,' tweet   ACDC establish Ashley Madison hack suspect    hacker behind   recent Ashley Madison leak may ha  '
41,SpornEnt,factual,neutral,'     anyone    ACDC concert   Nov '
42,SpornEnt,nonfactual,positive,'   turned     pandoraradio      Ronettes follow   ACDC     might survive Thursday     keep   '
43,SpornEnt,nonfactual,positive,'   sale one general admission ticket   ACDC   Downsview Park   September          pleasure    '
44,SpornEnt,nonfactual,positive,'     excite   announce   ACDC tribute band Big Jack   take   main stage   Fall Jam   Sunday September  '
45,SpornEnt,nonfactual,positive,' ACDC concert come   September    ford field already     ticket hell yeah   need   find   someone   go    Center stage '
46,SpornEnt,factual,neutral,' Marichalar   probably gonna wake          blast ACDC tomorrow     game day   oh   play   tu que sabes '
